"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Time","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2020-05-04 21:00","2020","05","04","21:00","3.7","","-7.0","","46","","32","","14","","","M","99.46","","","","","","NA"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2020-05-04 22:00","2020","05","04","22:00","2.9","","-7.4","","47","","33","","16","","","M","99.46","","","","","","NA"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2020-05-04 23:00","2020","05","04","23:00","2.4","","-6.8","","51","","33","","12","","","M","99.48","","","","","","NA"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2020-05-05 00:00","2020","05","05","00:00","2.6","","-4.9","","58","","32","","16","","","M","99.50","","","","","","NA"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2020-05-05 01:00","2020","05","05","01:00","2.0","","-3.8","","66","","33","","15","","","M","99.44","","","","","","NA"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2020-05-05 02:00","2020","05","05","02:00","1.3","","-3.0","","73","","33","","10","","","M","99.44","","","","","","NA"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2020-05-05 03:00","2020","05","05","03:00","0.7","","-3.2","","75","","33","","10","","","M","99.47","","","","","","NA"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2020-05-05 04:00","2020","05","05","04:00","0.3","","-3.9","","74","","36","","8","","","M","99.43","","","","","","NA"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2020-05-05 05:00","2020","05","05","05:00","0.0","","-4.1","","74","","2","","7","","","M","99.40","","","","-2","","NA"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2020-05-05 06:00","2020","05","05","06:00","0.5","","-4.0","","72","","2","","4","","","M","99.44","","","","","","NA"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2020-05-05 07:00","2020","05","05","07:00","2.1","","-6.3","","54","","35","","8","","","M","99.48","","","","","","NA"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2020-05-05 08:00","2020","05","05","08:00","3.1","","-6.0","","51","","5","","7","","","M","99.47","","","","","","NA"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2020-05-05 09:00","2020","05","05","09:00","4.7","","-6.2","","45","","32","","5","","","M","99.38","","","","","","NA"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2020-05-05 10:00","2020","05","05","10:00","5.8","","-7.7","","37","","32","","4","","","M","99.34","","","","","","NA"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2020-05-05 11:00","2020","05","05","11:00","7.5","","-8.4","","31","","","","0","","","M","99.29","","","","","","NA"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2020-05-05 12:00","2020","05","05","12:00","8.3","","-10.6","","25","","34","","12","","","M","99.26","","","","","","NA"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2020-05-05 13:00","2020","05","05","13:00","10.4","","-7.1","","28","","35","","16","","","M","99.23","","","","","","NA"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2020-05-05 14:00","2020","05","05","14:00","10.4","","-11.4","","20","","1","","18","","","M","99.18","","","","","","NA"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2020-05-05 15:00","2020","05","05","15:00","10.5","","-10.4","","22","","3","","16","","","M","99.11","","","","","","NA"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2020-05-05 16:00","2020","05","05","16:00","11.1","","-5.4","","31","","1","","17","","","M","99.09","","","","","","NA"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2020-05-05 17:00","2020","05","05","17:00","10.7","","-8.2","","26","","36","","12","","","M","99.08","","","","","","NA"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2020-05-05 18:00","2020","05","05","18:00","10.1","","-6.2","","31","","36","","14","","","M","99.04","","","","","","NA"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2020-05-05 19:00","2020","05","05","19:00","9.0","","-5.2","","36","","1","","14","","","M","99.06","","","","","","NA"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2020-05-05 20:00","2020","05","05","20:00","7.3","","-4.1","","44","","1","","15","","","M","99.07","","","","","","NA"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2020-05-05 21:00","2020","05","05","21:00","5.3","","-4.1","","51","","35","","9","","","M","99.09","","","","","","NA"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2020-05-05 22:00","2020","05","05","22:00","4.2","","-4.8","","52","","35","","10","","","M","99.06","","","","","","NA"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2020-05-05 23:00","2020","05","05","23:00","4.2","","-5.8","","48","","29","","4","","","M","99.07","","","","","","NA"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2020-05-06 00:00","2020","05","06","00:00","3.1","","-6.2","","51","","17","","5","","","M","99.08","","","","","","NA"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2020-05-06 01:00","2020","05","06","01:00","2.3","","-4.9","","59","","34","","7","","","M","99.08","","","","","","NA"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2020-05-06 02:00","2020","05","06","02:00","2.1","","-4.5","","62","","35","","10","","","M","99.03","","","","","","NA"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2020-05-06 03:00","2020","05","06","03:00","1.9","","-3.8","","66","","36","","9","","","M","99.05","","","","","","NA"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2020-05-06 04:00","2020","05","06","04:00","2.0","","-3.4","","68","","35","","5","","","M","99.03","","","","","","NA"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2020-05-06 05:00","2020","05","06","05:00","2.6","","-2.8","","68","","35","","12","","","M","99.02","","","","","","NA"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2020-05-06 06:00","2020","05","06","06:00","3.1","","-3.1","","64","","36","","10","","","M","99.03","","","","","","NA"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2020-05-06 07:00","2020","05","06","07:00","5.1","","-4.0","","52","","1","","13","","","M","99.01","","","","","","NA"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2020-05-06 08:00","2020","05","06","08:00","6.8","","-4.2","","45","","2","","14","","","M","99.04","","","","","","NA"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2020-05-06 09:00","2020","05","06","09:00","9.0","","-4.5","","38","","1","","16","","","M","99.04","","","","","","NA"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2020-05-06 10:00","2020","05","06","10:00","10.5","","-6.9","","29","","6","","17","","","M","99.01","","","","","","NA"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2020-05-06 11:00","2020","05","06","11:00","11.5","","-5.7","","29","","8","","5","","","M","98.99","","","","","","NA"
